gene	isoname	is_basic
CFAP74	CFAP74-202	0
GABRD	GABRD-202	0
GABRD	GABRD-201	1
GABRD	GABRD-213	1
GABRD	GABRD-205	1
GABRD	GABRD-218	1
GABRD	GABRD-212	0
GABRD	GABRD-219	0
GABRD	GABRD-204	0
GABRD	GABRD-206	0
PRKCZ	PRKCZ-201	0
PRKCZ	PRKCZ-208	0
PRKCZ	PRKCZ-224	0
PRKCZ	PRKCZ-202	1
PRKCZ	PRKCZ-221	0
PRKCZ	PRKCZ-204	0
PRKCZ	PRKCZ-205	0
PRKCZ	PRKCZ-210	0
PRKCZ	PRKCZ-222	0
PRKCZ	PRKCZ-218	0
PRKCZ	PRKCZ-220	0
PRKCZ	PRKCZ-211	0
PRKCZ	PRKCZ-209	0
PRKCZ	PRKCZ-212	0
PRKCZ	PRKCZ-206	0
PRKCZ	PRKCZ-223	0
FAAP20	FAAP20-204	1
FAAP20	FAAP20-203	0
FAAP20	FAAP20-201	0
FAAP20	FAAP20-202	1
FAAP20	FAAP20-207	0
SKI	SKI-201	1
MORN1	MORN1-203	1
MORN1	MORN1-202	1
MORN1	MORN1-205	0
MORN1	MORN1-208	0
RER1	RER1-203	1
RER1	RER1-204	1
RER1	RER1-209	1
RER1	RER1-201	0
RER1	RER1-202	1
RER1	RER1-205	0
RER1	RER1-207	1
PEX10	PEX10-201	1
PEX10	PEX10-202	1
PEX10	PEX10-204	1
PEX10	PEX10-205	0
PLCH2	PLCH2-208	0
PLCH2	PLCH2-205	1
PLCH2	PLCH2-203	1
PLCH2	PLCH2-204	1
PLCH2	PLCH2-201	0
PANK4	PANK4-201	1
PANK4	PANK4-202	1
HES5	HES5-201	1
TNFRSF14	TNFRSF14-203	0
TNFRSF14	TNFRSF14-204	0
TNFRSF14	TNFRSF14-205	0
TNFRSF14	TNFRSF14-207	0
TNFRSF14	TNFRSF14-202	1
TNFRSF14	TNFRSF14-201	1
TNFRSF14	TNFRSF14-215	0
PRXL2B	PRXL2B-202	1
PRXL2B	PRXL2B-205	1
PRXL2B	PRXL2B-204	1
PRXL2B	PRXL2B-201	1
PRXL2B	PRXL2B-215	1
PRXL2B	PRXL2B-203	1
PRXL2B	PRXL2B-207	0
PRXL2B	PRXL2B-214	0
MMEL1	MMEL1-204	0
MMEL1	MMEL1-201	1
MMEL1	MMEL1-206	1
TTC34	TTC34-201	1
TTC34	TTC34-202	1
ACTRT2	ACTRT2-201	1
PRDM16	PRDM16-206	1
PRDM16	PRDM16-203	1
PRDM16	PRDM16-201	1
PRDM16	PRDM16-208	1
PRDM16	PRDM16-204	0
PRDM16	PRDM16-205	0
ARHGEF16	ARHGEF16-203	1
ARHGEF16	ARHGEF16-202	1
ARHGEF16	ARHGEF16-201	1
ARHGEF16	ARHGEF16-205	0
ARHGEF16	ARHGEF16-204	0
MEGF6	MEGF6-202	1
MEGF6	MEGF6-201	1
